field,scriptid_or_native,current_tab,current_group,proposed_tab,proposed_group,action,rationale
Item Name/Number,itemid,Main,Primary Information,Main,Primary Information,KEEP,identity; equals vendor SKU at Premier
Product Name,custitem_la_product_name,Item Details/XO,-,Main,Primary Information,MOVE,the only human-readable name (604k); Display Name is the internal ID by convention
Display Name/Code,displayname,Main,Primary Information,Main,Primary Information,KEEP,internal-ID convention (workflow31) - prints on transaction lines; do not repurpose
UPC Code,upccode,Main,Primary Information,Main,Primary Information,RELABEL,"label 'Barcode (Internal ID)' - warehouse barcode key (mag_sl_print_label_form.js); 327,951 = internal id"
UPC / GTIN,custitem_la_upc,Item Details/XO,-,Main,Primary Information,MOVE,the real GTIN (276,929); FarApp barcode mapping
Vendor Name/Code,vendorname,Main,Primary Information,Main,Primary Information,RELABEL,"'Vendor Code' - 398,951 of 399,920 are a workflow copy of Item Name"
Subitem Of,parent,Main,Primary Information,Main,Primary Information,KEEP,
Primary Units Type,unitstype,Main,Primary Information,Main,Primary Information,KEEP,decision 3: push to Purchasing if always Each
Primary Base Unit,baseunit,Main,Primary Information,Main,Primary Information,KEEP,decision 3
Primary Stock Unit,stockunit,Main,Primary Information,Main,Primary Information,KEEP,decision 3
Primary Sale Unit,saleunit,Main,Primary Information,Main,Primary Information,KEEP,decision 3
Primary Purchase Unit,purchaseunit,Main,Primary Information,Main,Primary Information,KEEP,decision 3
Primary Consumption Unit,consumptionunit,Main,Primary Information,Main,Primary Information,HIDE,unused
Internal ID,internalid,Main,Primary Information,Main,Primary Information,KEEP,hidden inline as today
Manufacturer,manufacturer,Purchasing/Inventory,Manufacturing,Main,Catalog,MOVE+FEED,native; feed from XO Vendor Name (today 1,649)
Collection,custitem_la_collection,Item Details/XO,-,Main,Catalog,MOVE,557k; how staff identify a line
Finish,custitem_la_finish,Item Details/XO,-,Main,Catalog,MOVE,328k (+204,504 backfill from manufacturer_finish)
Style,custitem_atlas_style,Main,ungrouped,Main,Catalog,MOVE+RELABEL,XO Style; 66 values over 168k items - a real taxonomy; bundle-owned so relabel via UI
Primary Image,custitem_la_image,Item Details/XO,-,Main,Catalog,MOVE,532k; sourced by custcol_pr_prod_url
Item URL,custitem_la_product_url,Item Details/XO,-,Main,Catalog,MOVE,519k; XO item URL for staff lookup; sourced by custcol_webstore_link
Subsidiary,subsidiary,Main,Classification,Main,Classification,KEEP,
Class,class,Main,Classification,Main,Classification,KEEP+OPTION,decision 2: feed XO Standard-Category/Subcategory as hierarchical Class
Department,department,Main,Classification,Main,Classification,KEEP,1,330 populated
Location,location,Main,Classification,Main,Classification,KEEP,2,502 populated
Is Light Bulb,custitem6,Custom,-,Main,Classification,MOVE,category flag; feeds custcol_premier_is_bulb; never rename
Close-Out,custitem_atlas_closeout,Main,ungrouped,-,-,HIDE,3 TRUE
Season,custitem_atlas_season,Main,ungrouped,-,-,HIDE,33 populated
Department (Atlas),custitem_atlas_department,Main,ungrouped,-,-,HIDE,0 populated; duplicate of native Department
Item Category (USR),custitem_usr_item_category,Main,ungrouped,-,-,HIDE,1 populated; US sales-tax bundle field
BlueCollar File Attachment,custitem_bc_item_file_attachment,Main,ungrouped,Communication,-,MOVE,PM add-on file; lives with Files
Purchase Price,-,Purchasing/Inventory,Item/Cost Detail,Purchasing/Inventory,Item/Cost Detail,KEEP,native group as-is
